District,Constituency,Polling Station,Total,Male,Female,PDF Link
KARNAL,19-NILOKHERI(SC),MANAK MAJRA,495,234,261,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190025.PDF
KARNAL,19-NILOKHERI(SC),CHOPARI,1379,729,650,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190116.PDF
KARNAL,19-NILOKHERI(SC),SULTAN PUR,1205,625,580,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190127.PDF
KARNAL,19-NILOKHERI(SC),SINGHRA,2281,1205,1076,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190157.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190158.PDF"
KARNAL,19-NILOKHERI(SC),BHAINI KALAN,666,361,305,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190126.PDF
KARNAL,19-NILOKHERI(SC),GOYDA,1053,556,497,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190141.PDF
KARNAL,19-NILOKHERI(SC),BID BADAWALA,2464,1294,1170,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190041.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190042.PDF"
KARNAL,19-NILOKHERI(SC),BHUDSHAYAM,1015,520,495,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190007.PDF
KARNAL,19-NILOKHERI(SC),BAIRSAL,2546,1364,1182,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190017.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190018.PDF"
KARNAL,19-NILOKHERI(SC),GULLARPUR,527,283,244,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190174.PDF
KARNAL,19-NILOKHERI(SC),BASTALI,3164,1704,1460,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190142.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190143.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190144.PDF"
KARNAL,19-NILOKHERI(SC),DABARTHALA,1052,544,508,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190030.PDF
KARNAL,19-NILOKHERI(SC),MAJRA RODAN,2461,1352,1109,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190103.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190104.PDF"
KARNAL,19-NILOKHERI(SC),BARANI,1691,867,824,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190013.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190014.PDF"
KARNAL,19-NILOKHERI(SC),SANWAT,2013,1116,897,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190031.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190032.PDF"
KARNAL,19-NILOKHERI(SC),KHWAJA AHMADPUR,887,458,429,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190028.PDF
KARNAL,19-NILOKHERI(SC),JALALA VIRAN,933,484,449,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190132.PDF
KARNAL,19-NILOKHERI(SC),DACHOR,632,307,325,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190172.PDF
KARNAL,19-NILOKHERI(SC),BAKIPUR,583,307,276,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190023.PDF
KARNAL,19-NILOKHERI(SC),NISING,11117,5964,5153,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190148.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190149.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190150.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190151.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190152.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190153.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190154.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190155.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190156.PDF"
KARNAL,19-NILOKHERI(SC),KALSI KHALSA,1490,810,680,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190021.PDF
KARNAL,19-NILOKHERI(SC),ANJALTHALI,2172,1150,1022,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190047.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190048.PDF"
KARNAL,19-NILOKHERI(SC),AMARGARH,502,260,242,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190065.PDF
KARNAL,19-NILOKHERI(SC),BARTHAL,2727,1466,1261,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190011.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190012.PDF"
KARNAL,19-NILOKHERI(SC),PASTANA,1111,579,532,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190004.PDF
KARNAL,19-NILOKHERI(SC),TAKHANA KHALSA,2757,1453,1304,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190072.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190073.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190074.PDF"
KARNAL,19-NILOKHERI(SC),GULLAR PUR,1049,569,480,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB19/CMB0190173.PDF
