District,Constituency,Polling Station,Total,Male,Female,PDF Link
PANIPAT,24-PANIPAT RURAL,KUTANI,1775,962,813,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240044.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240045.PDF"
PANIPAT,24-PANIPAT RURAL,BHAINSWAL,883,464,419,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240031.PDF
PANIPAT,24-PANIPAT RURAL,AJIJULAPUR,687,368,319,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240043.PDF
PANIPAT,24-PANIPAT RURAL,BABBAR PUR,1306,690,616,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240035.PDF
PANIPAT,24-PANIPAT RURAL,KHERI NANGAL,9617,5377,4240,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240151.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240152.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240153.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240154.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240155.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240156.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240157.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240158.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240159.PDF"
PANIPAT,24-PANIPAT RURAL,NIMBRI,2650,1442,1208,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240170.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240171.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240172.PDF"
PANIPAT,24-PANIPAT RURAL,DADLANA,4663,2504,2159,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240002.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240003.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240004.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240005.PDF"
PANIPAT,24-PANIPAT RURAL,RAJAPUR,2036,1069,967,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240006.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240007.PDF"
PANIPAT,24-PANIPAT RURAL,BINJHOL,1081,600,481,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240137.PDF
PANIPAT,24-PANIPAT RURAL,KABRI,4219,2253,1966,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240037.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240038.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240039.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240040.PDF"
PANIPAT,24-PANIPAT RURAL,BARANA,4445,2336,2109,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240023.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240024.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240025.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240026.PDF"
PANIPAT,24-PANIPAT RURAL,SHIMLA MAULANA,1078,580,498,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240017.PDF
PANIPAT,24-PANIPAT RURAL,ASAN KALAN,3396,1789,1607,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240119.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240120.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240121.PDF"
PANIPAT,24-PANIPAT RURAL,SONDHAPUR,3496,1916,1580,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240131.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240132.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240133.PDF"
PANIPAT,24-PANIPAT RURAL,TARF MAKHDUM JADGAN,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240069.PDF
PANIPAT,24-PANIPAT RURAL,HARTARI,1104,591,513,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240191.PDF
PANIPAT,24-PANIPAT RURAL,BRAHMAN MAJRA,1914,1034,880,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240188.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240189.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240190.PDF"
PANIPAT,24-PANIPAT RURAL,BABAIL,3721,2040,1681,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240027.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240028.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240029.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240030.PDF"
PANIPAT,24-PANIPAT RURAL,UGRA KHERI,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240169.PDF
PANIPAT,24-PANIPAT RURAL,GARHI SIKANDERPUR,4438,2431,2007,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240115.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240116.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240117.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240118.PDF"
PANIPAT,24-PANIPAT RURAL,PALHERHI,1171,619,552,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240022.PDF
PANIPAT,24-PANIPAT RURAL,DIWANA,2201,1178,1023,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240192.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240193.PDF"
PANIPAT,24-PANIPAT RURAL,MEHRANA,2558,1357,1201,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240181.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240182.PDF"
PANIPAT,24-PANIPAT RURAL,BINJHAOL,1082,576,506,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240136.PDF
PANIPAT,24-PANIPAT RURAL,KHOTPURA,1621,837,784,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240018.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240019.PDF"
PANIPAT,24-PANIPAT RURAL,NIZAMPUR,1059,563,496,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240034.PDF
PANIPAT,24-PANIPAT RURAL,BINJIHOL,1081,596,485,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240138.PDF
PANIPAT,24-PANIPAT RURAL,PANIPAT TARF INSAR,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240114.PDF
PANIPAT,24-PANIPAT RURAL,KACHROLI,3443,1861,1582,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240008.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240009.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240010.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240011.PDF"
PANIPAT,24-PANIPAT RURAL,TARF PANIPAT  INSAR,2758,1519,1239,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240091.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240092.PDF"
PANIPAT,24-PANIPAT RURAL,FARIDPUR,1377,735,642,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240041.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240042.PDF"
PANIPAT,24-PANIPAT RURAL,PANIPAT TARF RAJPUTAN,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240150.PDF
PANIPAT,24-PANIPAT RURAL,CHANDOLI,1466,784,682,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240032.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240033.PDF"
PANIPAT,24-PANIPAT RURAL,BADDOLI,2481,1304,1177,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240014.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240015.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240016.PDF"
PANIPAT,24-PANIPAT RURAL,PANIPAT TARF MAKHDUM JADGAN,,,,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240082.PDF
PANIPAT,24-PANIPAT RURAL,GANJBAR,1918,1057,861,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240012.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240013.PDF"
PANIPAT,24-PANIPAT RURAL,MOHAMMADPUR,1323,706,617,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB24/CMB0240036.PDF
PANIPAT,24-PANIPAT RURAL,PAHLADPUR KHALILA,1007,548,459,http
