District,Constituency,Polling Station,Total,Male,Female,PDF Link
KURUKSHETRA,11-LADWA,JOGI MAJRA,1089,580,509,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110001.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110039.PDF"
KURUKSHETRA,11-LADWA,BIR MANGHOLI,738,378,360,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110006.PDF
KURUKSHETRA,11-LADWA,BARONDI,630,330,300,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110195.PDF
KURUKSHETRA,11-LADWA,BABAIN,4868,2539,2329,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110047.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110048.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110049.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110050.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110051.PDF"
KURUKSHETRA,11-LADWA,KALI RONA,676,338,338,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110043.PDF
KURUKSHETRA,11-LADWA,BARONDA,1164,606,558,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110196.PDF
KURUKSHETRA,11-LADWA,SIRSMA,2240,1199,1041,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110170.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110171.PDF"
KURUKSHETRA,11-LADWA,JHINWARHERI,676,353,323,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110182.PDF
KURUKSHETRA,11-LADWA,BADARPUR,1057,587,470,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110198.PDF
KURUKSHETRA,11-LADWA,HALALPUR,725,376,349,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110082.PDF
KURUKSHETRA,11-LADWA,BAJIDPUR,1136,607,529,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110159.PDF
KURUKSHETRA,11-LADWA,GUDHA,2406,1292,1114,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110034.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110035.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110036.PDF"
KURUKSHETRA,11-LADWA,UNTSAL,944,505,439,http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110092.PDF
KURUKSHETRA,11-LADWA,UMRI,5431,2869,2562,"http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110173.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110174.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110175.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110176.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110177.PDF, http://ceoharyana.nic.in/docs/election/draftroll2018/CMB11/CMB0110178.PDF"
